"PackageId","Title","Originators","yearrange","ltercore","edilink","category","pub_notes","Keywords"
"knb-lter-hbr.56.11","Hubbard Brook Experimental Forest (USDA Forest Service): Wind Speed and Wind Direction Measurements, 1965 - present","USDA Forest Service, Northern Research Station.","1965 - 2023","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.56.11","Hydrometeorology","1250","ecosystems;forests;watersheds;climate;weather;wind;wind speed;wind direction;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.57.10","Hubbard Brook Experimental Forest (USDA Forest Service): Vapor Pressure Measurements, 1966 - present","USDA Forest Service, Northern Research Station.","1966 - 2023","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.57.10","Hydrometeorology","1300","ecosystems;forests;watersheds;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;climate;humidity;relative humidity;vapor pressure;weather;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.27.20","Hubbard Brook Experimental Forest: Weekly Snow and Frost Measurements, 1955 - present","USDA Forest Service, Northern Research Station.","1955 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.27.20","Hydrometeorology","1301","ecosystems;forests;watersheds;snow;snow depth;frost;soil;snow water equivalence;winter;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;snow course;soil frost;frost depth;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.237.2","Hubbard Brook Experimental Forest: 15 Minute Solar Radiation Measurements, 2014 - present","USDA Forest Service, Northern Research Station.","2014 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.237.2","Hydrometeorology","1302","ecosystems;forests;watersheds;solar radiation;weather;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.60.13","Hubbard Brook Experimental Forest: Daily Solar Radiation Measurements, 1959 - present","USDA Forest Service, Northern Research Station.","1959 - 2023","DS","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.60.13","Hydrometeorology","1302","ecosystems;forests;watersheds;solar radiation;weather;climate;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;biota;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.136.5","Snow depth, soil frost depth and snow water content along an elevation gradient at the Hubbard Brook Experimental Forest.","Groffman, P.","2010 - 2018","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.136.5","Hydrometeorology","1350","HBEF snow gradient study;HBR;Hubbard Brook LTER;soil frost;forests;frost;nutrient cycling;snow;snow depth;snow water equivalence;soil;soil water content"
"knb-lter-hbr.83.6","Hubbard Brook Experimental Forest: Mirror Lake Thermal Profiles 1981 - 2011","Likens, G.","1981 - 2011","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.83.6","Hydrometeorology","1600","HBEF Mirror Lake Study;HBR;Hubbard Brook LTER;lake;profile;temperature;thermal"
"knb-lter-hbr.118.9","Hubbard Brook Experimental Forest: Mirror Lake Ice Cover 1968 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1968 - 2024","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.118.9","Hydrometeorology","1601","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;Mirror Lake;climatologyMeteorologyAtmosphere;ecosystems;watersheds;ice;hydrology;limnology;climatology;Climate change;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.161.4","Hubbard Brook Experimental Forest: Watershed 3 well water level recordings, 2007 - ongoing","Bailey, S.W., J.P. Gannon, K.J. McGuire, M.B. Green, and A.M. Pennino.","2007 - 2020","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.161.4","Hydrometeorology","1800","HBEF Watershed 3;HBR;Hubbard Brook LTER;hydrology;hydropedology;water level;water table;watersheds"
"knb-lter-hbr.173.3","The Effects of Climate Downscaling Technique and Observational Dataset on Modeled Ecological Responses: Supporting Data Tables","Pourmokhtarian, A., C. Driscoll, J. Campbell, K. Hayhoe, and A. Stoner.","999 - 2100","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.173.3","Hydrometeorology","1900","climate change;climate variability;ecological modeling;modeling;hydrology;forests;HBEF Watershed 6;HBR;Hubbard Brook LTER;Hubbard Brook;net primary productivity;statistical downscaling;streamwater nitrate;stream;nitrate;uncertainty analysis;watersheds;PnET-BGC;PnET;primary production"
"knb-lter-hbr.187.3","Climate Change Across Seasons Experiment (CCASE) at the Hubbard Brook Experimental Forest: Soil and Air Temperature","Templer, P., R. Sanders-DeMott, S. Juice, F. Bowles, L. Sofen, and J. Harrison.","2012 - 2016","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.187.3","Hydrometeorology","1950","soil temperature;ecosystems;forests;HBEF CCASE Plots;HBR;Hubbard Brook LTER;soil warming;snow removal;disturbance;populations"
"knb-lter-hbr.224.1","Hubbard Brook Experimental Forest: Nocturnal Cold-Air Pool Study, 2015","Kelsey, E., M. Cann, K. Lupo, and L. Haddad.","2015 - 2015","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.224.1","Hydrometeorology","1960","boundary layer;cold;Hubbard Brook Experimental Forest;inversion;katabatic;nocturnal;tethered balloon;canopies;meteorology;temperature"
"knb-lter-hbr.241.4","Hubbard Brook Experimental Forest: Flux Tower Data","Kelsey, E., M. Green, D. Evans, and E. Wright.","2016 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.241.4","Hydrometeorology","1965","ecosystems;forests;watersheds;carbon flux;evapotranspiration;disturbance;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;US-HBK;AMERIFLUX;water flux;energy flux;climatologyMeteorologyAtmosphere;Climate change;Climate change effects;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.296.1","Hubbard Brook field weather notes 1990-2019","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1990 - 2019","DP","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.296.1","Hydrometeorology","1970","ecosystems;forests;watersheds;weather;temperature;precipitation;HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;climatologyMeteorologyAtmosphere;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.311.1","The Hubbard Brook Stream Ecology Record: Light, 2018 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","2018 - 2021", ,"https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.311.1","Hydrometeorology","1990","White Mountain National Forest;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBR;forests;watersheds;water;streams;light;disturbance patterns;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.208.11","Continuous precipitation and stream chemistry data, Hubbard Brook Ecosystem Study, 1963 – ongoing.","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2023","DP; IM; OM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.208.11","Water Chemistry","2000","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;LTREB;New Hampshire;NH;White Mountain National Forest;organic nutrients;environment;ecosystems;forests;watersheds;streams;water chemistry;precipitation;acid neutralizing capacity;ammonium;calcium;chloride;magnesium;nitrate;pH;phosphate;potassium;sodium;sulfate;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.15.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 1, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.15.12","Water Chemistry","2001","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.16.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 2, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.16.12","Water Chemistry","2002","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.17.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 3, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.17.12","Water Chemistry","2003","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.18.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 4, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.18.12","Water Chemistry","2004","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.19.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 5, 1964 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.19.12","Water Chemistry","2005","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.20.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 6, 1964 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.20.12","Water Chemistry","2006","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.21.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 7, 1965 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.21.12","Water Chemistry","2007","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.22.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 8, 1969 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.22.12","Water Chemistry","2008","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.23.12","Hubbard Brook Experimental Forest: Chemistry of Precipitation – Monthly Fluxes, Watershed 9, 1995 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.23.12","Water Chemistry","2009","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.24.8","Chemistry of Bulk Precipitation at Hubbard Brook Experimental Forest, 1969 - present, Robert S. Pierce Ecosystem Laboratory Facility","Likens, G.","1969 - 2012","DP; IM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.24.8","Water Chemistry","2010","aluminum;ammonium;calcium;chemistry;chloride;HBEF Watersheds;HBR;Hubbard Brook LTER;magnesium;nitrate;pH;phosphate;potassium;precipitation;rain;silica;sodium;sulfate;watershed;disturbance;inorganic nutrients"
"knb-lter-hbr.3.19","Hubbard Brook Experimental Forest: Chemistry of Streamwater – Monthly Fluxes, Watershed 1, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM; OM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.3.19","Water Chemistry","2201","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.4.19","Hubbard Brook Experimental Forest: Chemistry of Streamwater – Monthly Fluxes, Watershed 2, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM; OM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.4.19","Water Chemistry","2202","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.5.19","Hubbard Brook Experimental Forest: Chemistry of Streamwater – Monthly Fluxes, Watershed 3, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM; OM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.5.19","Water Chemistry","2203","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.6.19","Hubbard Brook Experimental Forest: Chemistry of Streamwater – Monthly Fluxes, Watershed 4, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM; OM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.6.19","Water Chemistry","2204","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
"knb-lter-hbr.7.19","Hubbard Brook Experimental Forest: Chemistry of Streamwater – Monthly Fluxes, Watershed 5, 1963 - ongoing","Hubbard Brook Watershed Ecosystem Record (HBWatER).","1963 - 2022","DP; IM; OM","https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.7.19","Water Chemistry","2205","HBR;Hubbard Brook LTER;Hubbard Brook Experimental Forest;Hubbard Brook Ecosystem Study;HBES;HBEF;New Hampshire;NH;White Mountain National Forest;environment;streams;flux;ecosystems;forests;watersheds;acid neutralizing capacity;aluminum;ammonium;calcium;chemistry;chloride;dissolved inorganic carbon;dissolved organic carbon;dissolved organic nitrogen;magnesium;nitrate;pH;phosphate;potassium;silica;sodium;streamflow;sulfate;total dissolved nitrogen;disturbance;fluorine;iron;hydrogen;manganese;specific conductivity;disturbance;inorganic nutrients;Ecology, Ecosystems, & Environment"
